gene	SRR6819014	SRR6819015	SRR6819016	SRR6819017	SRR6819018	SRR6819019	SRR6819020	SRR6819021	SRR6819022	SRR6819023
FUN_016405	2.46467584643928	3.38947447534053	2.91722672593134	2.61506443318817	2.91508923246086	3.57291577088295	2.12445808952942	2.50681534117236	1.89596960532847	2.27758105513867
FUN_012018	8.67172719872798	8.76817071752698	8.17678531690161	8.48612613032306	8.88952950406391	8.90051792236219	9.02442148712819	8.85280601677956	8.90968310970472	8.79934080103013
FUN_012161	15.3213440897254	15.2897083810551	15.8176382299286	15.5633788335882	14.9315288481169	15.0054268026175	15.25753436732	14.8941237080383	14.8301161806422	14.6036604853162
FUN_016843	7.21581719773613	7.4922858189086	6.65276871315278	6.95461666043295	7.34329815690554	6.7694253264798	6.9951994998038	7.17623944847667	7.38391967398094	7.04979742776399
FUN_017309	4.13532469408654	4.65677965247386	0	0	4.41651549251143	3.95732221164163	3.8521557890341	3.47869851624374	4.45065184407864	3.31906398098684
FUN_017451	0	2.05650598984539	3.94660343185042	2.27646069510853	3.95786153602846	4.26055456058882	0	3.83494529187808	3.19616017100598	2.45682811381321
FUN_030308	7.51812465167714	7.84270962941475	7.71022000393454	7.84806657066082	7.17206111455558	7.35398377223635	7.41057658788135	7.40608646520636	7.58817234664687	7.35689991793603
FUN_003690	9.80000313357701	9.72940549662522	10.254250455047	10.132400891038	9.56008318804006	9.62470208825816	9.71228267969746	9.62463617828279	9.58765066299435	9.7043035028216
FUN_003936	11.5453212814709	11.34746027842	11.4216245312982	11.5389914932567	11.7886025085644	11.7791048618463	11.7287183745854	11.911292065551	11.7452916265365	11.5632122222098
FUN_004864	4.56072381855652	4.46369936030043	2.30227688409273	3.31779387686088	4.76399422927911	3.95732221164163	4.54859804793226	2.29367472783307	4.11522649894573	4.83703203942582
FUN_005051	9.4040721825445	9.05485509388837	8.97450281724149	8.88067600340744	8.71832559974937	8.824509909002	8.93480272570506	7.98376881791801	8.60473390770668	8.83219799693609
FUN_005805	5.78765050321554	4.65677965247386	5.90653799481205	5.74272528799408	5.27807822051173	5.61890280048092	5.91568673639759	5.95157213825446	3.45675895338434	5.07525305467423
FUN_005461	9.59042163831908	9.39215824685544	9.76495556261488	9.92551410561973	9.74255426763067	9.70225887805596	9.82347198658207	9.9283949706985	9.9590385401057	9.85480172849353
FUN_006009	14.8146671523269	14.7725850181896	15.6010936983726	15.051886298466	14.3104473691373	14.5110331547869	14.6573910382842	14.2999461965394	14.1270088400131	14.034272519403
FUN_014695	3.52941297888766	0	3.34702734933736	2.61506443318817	3.16939361438455	1.49400722056322	1.69611039836999	3.47869851624374	3.04577854512088	3.85501801719218
FUN_016288	8.2182737609298	7.9262931827041	8.73810988115388	8.40116855819267	8.03332796010473	7.91171996068985	8.0147464420853	7.85835160274742	7.9528536304954	7.76690580238166
FUN_016402	7.93711816473105	7.75398417815977	7.5479086925553	7.80737420316658	8.06891519808611	7.90626761044623	8.12304777407388	8.32313661475401	8.03997391724164	8.06522359913803
FUN_016472	7.39438614623562	7.05156081237764	6.7080773603075	6.92449046352834	6.36493654952003	6.01311805535842	7.10492339109606	6.71177985138414	6.64225633562051	7.07059999001039
