gene_id,SRR6819014,SRR6819015,SRR6819016,SRR6819017,SRR6819018,SRR6819019,SRR6819020,SRR6819021,SRR6819022,SRR6819023
FUN_026414,374,670,612,570,936,649,622,768,684,959
FUN_026455,1556,2074,1376,1852,2022,1884,1990,1584,1545,2372
FUN_026493,195,256,264,304,511,388,284,480,458,610
FUN_026557,81,76,92,52,106,75,84,118,91,148
FUN_026796,6,2,6,7,8,10,0,7,9,10
FUN_026672,39,39,12,16,35,15,33,32,20,63
FUN_026752,110,164,118,100,287,170,162,221,204,277
FUN_002579,436,525,450,453,839,548,529,745,602,963
FUN_003030,976,1464,1163,1175,1904,1594,1222,1714,1523,2401
FUN_003943,484,792,488,642,1122,783,696,973,861,1239
FUN_003635,6053,10028,11304,10520,14915,11633,9552,13685,11616,14785
FUN_005059,0,0,0,0,22,0,0,0,0,0
FUN_005913,83,102,30,49,128,69,103,143,126,195
FUN_006230,555,836,442,623,1290,944,852,1092,1062,1588
FUN_006605,99,195,117,109,264,186,147,196,216,300
FUN_006846,594,687,561,764,1506,1193,743,1252,1181,1440
FUN_008347,0,0,0,0,0,0,0,0,0,0
FUN_008158,13,0,4,9,10,7,4,10,19,9
FUN_007775,311,462,361,316,504,432,378,562,436,734
FUN_007335,2302,2908,2200,2096,4348,3367,2630,3726,3283,4930
FUN_011202,543,714,786,657,1181,986,714,1099,979,1477
FUN_011300,329,411,420,377,835,677,401,693,646,901
FUN_011499,570,756,759,657,1159,1008,848,1202,871,1498
FUN_011621,105,132,140,165,264,158,110,161,171,270
FUN_017997,831,1270,1393,1138,1685,1434,1083,1611,1163,1850
FUN_018084,114,186,226,170,385,228,177,356,254,311
FUN_018141,971,1225,1183,1148,1995,1515,1184,1853,1544,2183
FUN_018357,394,486,443,539,691,540,483,720,546,716
FUN_018512,366,472,353,369,823,561,521,713,603,1063
FUN_020090,772,1136,932,861,1918,1522,1137,1915,1556,2247
FUN_021614,1,0,0,0,5,2,1,1,0,0
FUN_021818,2,0,0,0,0,0,0,0,0,0
FUN_020484,0,1,0,0,0,4,0,0,0,1
FUN_020288,478,646,414,599,1363,1253,894,1470,1157,1755
FUN_020414,137,307,256,155,221,135,92,163,275,201
FUN_021916,1,0,1,0,9,3,2,2,2,0
FUN_023966,81,130,25,55,119,96,125,106,140,120
FUN_024094,10,11,7,4,9,7,15,15,20,16
FUN_024120,17,29,22,17,35,15,25,18,20,47
FUN_024242,105,126,63,115,308,202,160,305,264,328
FUN_024610,0,0,0,0,8,5,5,0,0,6
FUN_025346,672,1050,1145,1171,1654,1531,1231,1781,1441,1921
FUN_025740,5,0,0,0,6,0,0,4,0,4
FUN_025487,911,1137,670,1016,1224,1071,984,1111,833,1362
FUN_025796,0,0,0,15,36,18,20,0,0,32
FUN_025833,1,2,0,7,5,2,3,5,0,0
FUN_025842,2,4,2,0,4,0,2,0,3,4
FUN_026649,0,4,3,3,4,2,0,0,0,10
FUN_025953,611,763,805,393,1730,1276,865,1681,1211,1774
FUN_001449,21,15,14,15,32,28,16,22,22,37
FUN_001868,2,2,6,2,5,5,4,5,4,3
FUN_002037,780,1013,871,937,1577,1911,1336,2399,2029,2841
FUN_030646,474,677,702,565,2046,1627,1018,1970,1793,2332
FUN_002919,35,56,56,55,116,72,53,91,64,167
FUN_003209,65,149,79,53,230,268,99,300,273,335
FUN_003367,195,269,321,208,539,562,360,534,494,653
FUN_003614,503,728,729,821,572,560,632,469,316,628
FUN_003797,179,277,234,228,445,392,342,380,222,377
FUN_004256,56,80,86,74,113,147,69,95,44,83
FUN_004303,40,50,52,53,99,121,62,89,27,87
FUN_004393,119,124,96,179,270,311,141,264,88,236
FUN_004878,336,717,704,486,821,800,468,820,649,978
FUN_004821,283,402,289,253,536,513,320,519,386,620
FUN_004991,89,111,99,109,158,174,76,183,123,166
FUN_009827,70,94,114,71,141,126,110,154,104,198
FUN_005421,226,370,286,303,690,659,305,1181,686,942
FUN_005688,366,552,622,497,1000,831,568,940,812,1246
FUN_005648,58,46,77,45,110,82,54,104,87,109
FUN_005919,378,549,437,479,473,439,399,559,445,635
FUN_006274,295,360,415,367,99,169,349,56,62,101
FUN_009454,97,84,72,103,192,128,109,243,165,278
FUN_011933,9,2,10,13,12,8,0,6,4,7
FUN_011817,145,168,314,192,298,192,174,245,174,281
FUN_012170,7,15,3,11,13,7,17,18,10,20
FUN_012024,258,375,384,357,664,417,397,736,466,643
FUN_030647,161,182,158,125,158,131,148,133,149,187
FUN_012556,29,43,24,35,92,30,68,90,63,85
FUN_012704,37,39,21,31,435,382,203,371,413,466
FUN_012750,8,16,16,0,83,59,34,64,70,70
